Nitrogen,Phosphorus,Potassium,Temperature,Humidity,pH_Value,Rainfall,Moisture,Soil Type,Crop,Yield
6.0,124.0,200.0,22.98208095,93.84505029,5.971332179,109.5852253,70.0,Loamy,Apple,350
1.0,124.0,199.0,23.71059131,93.27392415,5.658473817,112.6676589,70.0,Loamy,Apple,450
29.0,128.0,198.0,22.44075021,92.70785115,5.685062404,121.4977331,70.0,Loamy,Apple,450
34.0,140.0,198.0,21.70416965,93.44006288,5.751707342,115.1781396,70.0,Loamy,Apple,450
32.0,141.0,203.0,21.25941052,92.84416234,5.821347769,109.0658471,70.0,Loamy,Apple,450
7.0,141.0,195.0,23.8812458,93.45067555,5.514253142,104.9116663,70.0,Loamy,Apple,460
26.0,126.0,195.0,21.41363812,92.99124545,5.878568981,118.3979065,70.0,Loamy,Apple,500
33.0,138.0,198.0,22.29423493,90.69033986,6.222390798,122.7418744,70.0,Loamy,Apple,500
40.0,136.0,202.0,22.85267372,94.5764581,5.935336308,117.5314026,70.0,Loamy,Apple,520
9.0,143.0,197.0,23.75033085,92.88160462,5.570020684,117.6602827,70.0,Loamy,Apple,530
21.0,137.0,196.0,23.6119202,91.70293849,5.812781806,123.5900822,70.0,Loamy,Apple,540
24.0,142.0,202.0,22.53779727,91.48135786,5.710819862,101.8474768,70.0,Loamy,Apple,550
10.0,136.0,204.0,21.19852186,92.15595143,6.276198595,105.8554351,70.0,Loamy,Apple,550
28.0,123.0,198.0,23.46260321,91.45665004,5.682751473,111.7763395,70.0,Loamy,Apple,580
28.0,136.0,200.0,23.06204373,92.39544055,6.245858905,114.7399101,70.0,Loamy,Apple,590
5.0,144.0,205.0,21.42177231,92.62665309,6.184922574,102.8045658,70.0,Loamy,Apple,600
35.0,131.0,203.0,22.42776057,93.91722423,5.893490899,102.7230739,70.0,Loamy,Apple,600
29.0,140.0,195.0,23.64082979,90.95257927,5.560521058,116.7431319,70.0,Loamy,Apple,600
20.0,139.0,202.0,23.50201428,92.21083961,5.66999105,107.9868949,70.0,Loamy,Apple,640
30.0,122.0,197.0,21.37784654,92.72043743,5.573241391,106.1417017,70.0,Loamy,Apple,650
23.0,138.0,195.0,22.49095104,91.70292746,5.795985716,124.3915101,70.0,Loamy,Apple,650
2.0,129.0,201.0,22.78234161,94.36803516,5.682343744,122.1449949,70.0,Loamy,Apple,650
